8,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
8,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
8,"t","[For meaning of abbreviations and symbols, see introductory text.]"
8,"h","","","","","","",""
8,"h","Item","","South Dakota","Tennessee","Texas","Utah","Vermont"
8,"h","","","","","","",""
8,"d","ORGANIC FARMS","",,,,,
8,"d","","",,,,,
8,"d","Certified or exempt","farms",80,54,234,60,542
8,"d","","",,,,,
8,"d","ORGANIC LAND","",,,,,
8,"d","","",,,,,
8,"d","Total certified and exempt organic acres","",,,,,
8,"d"," operated","farms",80,54,230,59,540
8,"d","","acres",78363,3667,126639,120437,114951
8,"d","","",,,,,
8,"d","  Land owned","farms",71,47,175,53,506
8,"d","","acres",56359,2700,66054,89141,82031
8,"d","  Land rented from others","farms",39,16,92,21,279
8,"d","","acres",22825,"(D)",63494,31296,34327
8,"d","  Land rented to others","farms",5,2,10,-,26
8,"d","","acres",821,"(D)",2909,-,1407
8,"d","","",,,,,
8,"d","  Total certified organic acres operated","farms",78,30,178,59,506
8,"d","","acres","(D)",3182,125373,120437,112819
8,"d","    Land owned","farms",69,23,126,53,472
8,"d","","acres","(D)","(D)",64840,89141,79919
8,"d","    Land rented from others","farms",39,14,85,21,277
8,"d","","acres",22825,"(D)",63442,31296,"(D)"
8,"d","    Land rented to others","farms",5,2,10,-,22
8,"d","","acres",821,"(D)",2909,-,"(D)"
8,"d","","",,,,,
8,"d","  Total exempt organic acres operated","farms",2,24,52,-,34
8,"d","","acres","(D)",485,1266,-,2132
8,"d","    Land owned","farms",2,24,49,-,34
8,"d","","acres","(D)","(D)",1214,-,2112
8,"d","    Land rented from others","farms",-,2,7,-,2
8,"d","","acres",-,"(D)",52,-,"(D)"
8,"d","    Land rented to others","farms",-,-,-,-,4
8,"d","","acres",-,-,-,-,"(D)"
8,"d","","",,,,,
8,"d","TRANSITIONAL LAND","",,,,,
8,"d","","",,,,,
8,"d","Total transitional acres operated","farms",4,1,19,11,12
8,"d","","acres",379,"(D)",4684,3365,404
8,"d","  Cropland","farms",4,1,15,11,8
8,"d","","acres",379,"(D)",3649,3365,223
8,"d","  Pastureland","farms",-,1,4,-,6
8,"d","","acres",-,"(D)",1035,-,181
8,"d","  Rangeland","farms",-,-,-,-,-
8,"d","","acres",-,-,-,-,-
8,"d","  Land owned","farms",3,1,11,2,5
8,"d","","acres",89,"(D)",2868,"(D)",226
8,"d","  Land rented from others","farms",3,1,8,10,7
8,"d","","acres",290,"(D)",1816,"(D)",178
8,"d","  Land rented to others","farms",-,-,-,-,-
8,"d","","acres",-,-,-,-,-
8,"c",""
8,"c","--continued"
