573,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
573,"t","Table A.  Organic Survey Sample Size and Response Rates:  2014"
573,"t","[For meaning of abbreviations and symbols, see introductory text.]"
573,"h","","",""
573,"h","Geographic area","Sample count (number)","Response rate (percent)"
573,"h","","",""
573,"d","United States",13530,63
573,"d","",,
573,"d","Alabama",29,62
573,"d","Alaska",16,69
573,"d","Arizona",50,62
573,"d","Arkansas",28,61
573,"d","California",2573,64
573,"d","",,
573,"d","Colorado",198,57
573,"d","Connecticut",88,61
573,"d","Delaware",8,88
573,"d","Florida",180,48
573,"d","Georgia",110,58
573,"d","",,
573,"d","Hawaii",168,56
573,"d","Idaho",162,67
573,"d","Illinois",221,74
573,"d","Indiana",289,64
573,"d","Iowa",634,60
573,"d","",,
573,"d","Kansas",96,55
573,"d","Kentucky",101,66
573,"d","Louisiana",18,67
573,"d","Maine",407,67
573,"d","Maryland",101,72
573,"d","",,
573,"d","Massachusetts",143,62
573,"d","Michigan",401,50
573,"d","Minnesota",554,55
573,"d","Mississippi",8,63
573,"d","Missouri",198,70
573,"d","",,
573,"d","Montana",137,74
573,"d","Nebraska",164,68
573,"d","Nevada",34,71
573,"d","New Hampshire",116,57
573,"d","New Jersey",92,63
573,"d","",,
573,"d","New Mexico",111,54
573,"d","New York",854,64
573,"d","North Carolina",224,74
573,"d","North Dakota",117,51
573,"d","Ohio",549,57
573,"d","",,
573,"d","Oklahoma",46,54
573,"d","Oregon",520,69
573,"d","Pennsylvania",668,63
573,"d","Rhode Island",19,47
573,"d","South Carolina",42,64
573,"d","",,
573,"d","South Dakota",92,61
573,"d","Tennessee",64,55
573,"d","Texas",235,67
573,"d","Utah",51,76
573,"d","Vermont",477,60
573,"d","",,
573,"d","Virginia",146,75
573,"d","Washington",680,63
573,"d","West Virginia",27,67
573,"d","Wisconsin",1238,61
573,"d","Wyoming",46,63
573,"c",""
