564,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
564,"t","Table 84.  Transitional Organic Land Operated – Exempt Organic Farms:  2014"
564,"t","[For meaning of abbreviations and symbols, see introductory text.]"
564,"h","","","","","",""
564,"h","","","Acres in transition","Acres in transition","Acres in transition","Acres in transition"
564,"h","","","","","",""
564,"h","Geographic Area","Farms","Total","Cropland","Pastureland","Rangeland"
564,"h","","","","","",""
564,"d","United States",93,2717,2219,455,43
564,"d","",,,,,
564,"d","Alabama",2,"(D)","(D)","(D)",-
564,"d","Alaska",1,"(D)","(D)",-,-
564,"d","California",3,1608,1608,-,-
564,"d","Connecticut",8,10,10,-,-
564,"d","Georgia",2,"(D)",-,"(D)",-
564,"d","",,,,,
564,"d","Hawaii",2,"(D)","(D)",-,-
564,"d","Illinois",1,"(D)","(D)",-,-
564,"d","Indiana",7,131,"(D)","(D)",-
564,"d","Kentucky",9,57,"(D)","(D)",-
564,"d","Louisiana",2,"(D)","(D)","(D)","(D)"
564,"d","",,,,,
564,"d","Maine",2,"(D)","(D)",-,-
564,"d","Maryland",2,"(D)",-,"(D)",-
564,"d","Massachusetts",3,21,3,18,-
564,"d","Michigan",4,18,18,-,-
564,"d","Nevada",3,15,15,-,-
564,"d","",,,,,
564,"d","New Jersey",1,"(D)","(D)",-,"(D)"
564,"d","New Mexico",4,4,4,-,-
564,"d","New York",4,14,14,-,-
564,"d","North Carolina",8,8,8,-,-
564,"d","Ohio",2,"(D)","(D)",-,-
564,"d","",,,,,
564,"d","Oklahoma",5,182,"(D)","(D)",-
564,"d","Pennsylvania",2,"(D)","(D)","(D)",-
564,"d","South Carolina",2,"(D)","(D)","(D)",-
564,"d","Virginia",4,30,"(D)","(D)",-
564,"d","Washington",3,6,6,-,-
564,"d","",,,,,
564,"d","West Virginia",2,"(D)","(D)",-,-
564,"d","Wisconsin",5,130,46,84,-
564,"c",""
