382,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
382,"t","Table 39.  Organic Floriculture Crops, Nursery Crops, Propagative Materials, and Mushrooms Produced and Value of Sales – Certified Organic Farms:  2014 (continued)"
382,"t","[For meaning of abbreviations and symbols, see introductory text.]"
382,"h","","","","","","",""
382,"h","","Under glass or other protection","Under glass or other protection","In the open","In the open","Value of sales","Value of sales"
382,"h","","","","","","",""
382,"h","Crop and geographic area","Farms","Square feet","Farms","Acres","Farms","Dollars"
382,"h","","","","","","",""
382,"d","MUSHROOMS - Con.",,,,,,
382,"d","",,,,,,
382,"d","Tennessee",1,"(D)","(X)","(X)",1,"(D)"
382,"d","Texas",1,"(D)","(X)","(X)",1,"(D)"
382,"d","Virginia",2,"(D)","(X)","(X)",2,"(D)"
382,"d","Washington",7,43820,"(X)","(X)",7,305957
382,"d","Wisconsin",6,"(D)","(X)","(X)",6,"(D)"
382,"c",""
