384,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
384,"t","Table 41.  Organic Maple Syrup Produced and Value of Sales – Certified Organic Farms:  2014"
384,"t","[For meaning of abbreviations and symbols, see introductory text.]"
384,"h","","","","",""
384,"h","","","","Syrup produced","Value of sales"
384,"h","Geographic area","Farms","Number of taps","(gallons)","(dollars)"
384,"h","","","","",""
384,"d","United States",260,3101226,1160657,33774594
384,"d","",,,,
384,"d","Connecticut",3,245,31,3364
384,"d","Illinois",2,"(D)","(D)","(D)"
384,"d","Indiana",1,"(D)","(D)","(D)"
384,"d","Iowa",4,430,160,680
384,"d","Maine",56,1420993,572644,13902926
384,"d","",,,,
384,"d","Massachusetts",7,"(D)","(D)",116704
384,"d","Michigan",2,"(D)","(D)","(D)"
384,"d","Minnesota",2,"(D)","(D)","(D)"
384,"d","New Hampshire",7,"(D)","(D)","(D)"
384,"d","New York",26,133701,36595,2647443
384,"d","",,,,
384,"d","Ohio",11,"(D)","(D)","(D)"
384,"d","Pennsylvania",8,"(D)","(D)","(D)"
384,"d","Vermont",103,1335822,488463,15096234
384,"d","West Virginia",2,"(D)","(D)","(D)"
384,"d","Wisconsin",26,30342,6902,292261
384,"c",""
