524,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
524,"t","Table 69.  Organic Livestock and Poultry Inventory and Sales – Exempt Organic Farms:  2014 (continued)"
524,"t","[For meaning of abbreviations and symbols, see introductory text.]"
524,"h","","","","","","",""
524,"h","","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con.","Value of sales - con."
524,"h","","","","","","",""
524,"h","","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
524,"h","","","","","","",""
524,"h","","","","","","",""
524,"h","Commodity and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
524,"h","","","","","","",""
524,"d","CHICKENS - BROILERS - Con.",,,,,,
524,"d","",,,,,,
524,"d","Vermont",3,300,3300,-,-,-
524,"d","Washington",6,382,6049,-,-,-
524,"d","Wisconsin",6,320,4825,-,-,-
524,"d","",,,,,,
524,"d","TURKEYS",,,,,,
524,"d","",,,,,,
524,"d","United States",20,171,9685,7,182,8870
524,"d","",,,,,,
524,"d","California",2,"(D)","(D)",-,-,-
524,"d","Illinois",2,"(D)","(D)",-,-,-
524,"d","Indiana",-,-,-,-,-,-
524,"d","Massachusetts",-,-,-,-,-,-
524,"d","Missouri",-,-,-,2,"(D)","(D)"
524,"d","",,,,,,
524,"d","New Hampshire",6,78,4800,-,-,-
524,"d","New York",1,"(D)","(D)",-,-,-
524,"d","Ohio",3,15,732,-,-,-
524,"d","South Carolina",-,-,-,3,120,6720
524,"d","Texas",2,"(D)","(D)",2,"(D)","(D)"
524,"d","",,,,,,
524,"d","Vermont",2,"(D)","(D)",-,-,-
524,"d","Washington",-,-,-,-,-,-
524,"d","Wisconsin",2,"(D)","(D)",-,-,-
524,"d","",,,,,,
524,"d","OTHER ORGANIC POULTRY",,,,,,
524,"d"," (SEE TEXT)",,,,,,
524,"d","",,,,,,
524,"d","United States",16,"(X)",2271,-,"(X)",-
524,"d","",,,,,,
524,"d","Georgia",-,"(X)",-,-,"(X)",-
524,"d","Maine",-,"(X)",-,-,"(X)",-
524,"d","New Jersey",-,"(X)",-,-,"(X)",-
524,"d","New York",1,"(X)","(D)",-,"(X)",-
524,"d","Pennsylvania",2,"(X)","(D)",-,"(X)",-
524,"d","",,,,,,
524,"d","Texas",-,"(X)",-,-,"(X)",-
524,"d","Vermont",5,"(X)",1100,-,"(X)",-
524,"d","Washington",6,"(X)",450,-,"(X)",-
524,"d","Wisconsin",2,"(X)","(D)",-,"(X)",-
524,"c",""
