515,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
515,"t","Table 67.  Organic Cut Christmas Trees Produced and Value of Sales – Exempt Organic Farms:  2014"
515,"t","[For meaning of abbreviations and symbols, see introductory text.]"
515,"h","","","","","",""
515,"h","","Acres in production","Acres in production","Harvested","Harvested","Harvested"
515,"h","","","","","",""
515,"h","","","","","Number of","Value of sales"
515,"h","Geographic area","Farms","Acres","Farms","trees cut","(dollars)"
515,"h","","","","","",""
515,"d","United States",34,146,28,902,29463
515,"d","",,,,,
515,"d","Colorado",3,27,3,30,3000
515,"d","Connecticut",5,19,1,"(D)","(D)"
515,"d","Indiana",3,9,3,27,1200
515,"d","Maine",4,20,4,196,4730
515,"d","Massachusetts",3,12,3,153,2400
515,"d","",,,,,
515,"d","Missouri",1,"(D)",1,"(D)","(D)"
515,"d","New Jersey",5,"(D)",5,"(D)","(D)"
515,"d","New York",2,"(D)",2,"(D)","(D)"
515,"d","Oklahoma",3,15,3,30,1200
515,"d","Oregon",1,"(D)",1,"(D)","(D)"
515,"d","",,,,,
515,"d","Texas",2,"(D)",-,-,-
515,"d","Washington",2,"(D)",2,"(D)","(D)"
515,"c",""
