516,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
516,"t","Table 68.  Organic Maple Syrup Produced and Value of Sales – Exempt Organic Farms:  2014"
516,"t","[For meaning of abbreviations and symbols, see introductory text.]"
516,"h","","","","",""
516,"h","","","","Syrup produced","Value of sales"
516,"h","Geographic area","Farms","Number of taps","(gallons)","(dollars)"
516,"h","","","","",""
516,"d","United States",45,15603,1501,53820
516,"d","",,,,
516,"d","Indiana",2,"(D)","(D)","(D)"
516,"d","Maine",6,7200,390,13574
516,"d","Massachusetts",2,"(D)","(D)",-
516,"d","Michigan",2,"(D)","(D)","(D)"
516,"d","Minnesota",2,"(D)","(D)","(D)"
516,"d","",,,,
516,"d","New Hampshire",6,450,30,1200
516,"d","New Jersey",1,"(D)","(D)","(D)"
516,"d","New York",7,992,152,8850
516,"d","Ohio",2,"(D)","(D)","(D)"
516,"d","Pennsylvania",2,"(D)","(D)","(D)"
516,"d","",,,,
516,"d","Vermont",4,3600,490,15200
516,"d","Virginia",2,"(D)","(D)","(D)"
516,"d","Wisconsin",7,1399,215,6398
516,"c",""
