2,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
2,"t","[For meaning of abbreviations and symbols, see introductory text.]"
2,"h","","","","","","","",""
2,"h","Item","","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii"
2,"h","","","","","","","",""
2,"d","ORGANIC FARMS","",,,,,,
2,"d","","",,,,,,
2,"d","Certified or exempt","farms",157,122,10,166,117,166
2,"d","","",,,,,,
2,"d","ORGANIC LAND","",,,,,,
2,"d","","",,,,,,
2,"d","Total certified and exempt organic acres","",,,,,,
2,"d"," operated","farms",157,122,10,166,117,166
2,"d","","acres",115116,2581,256,19364,8984,3505
2,"d","","",,,,,,
2,"d","  Land owned","farms",140,110,10,153,109,119
2,"d","","acres",77268,2043,"(D)",16874,5503,"(D)"
2,"d","  Land rented from others","farms",57,33,1,36,24,57
2,"d","","acres","(D)",663,"(D)",2490,"(D)",2278
2,"d","  Land rented to others","farms",2,5,2,-,1,2
2,"d","","acres","(D)",125,"(D)",-,"(D)","(D)"
2,"d","","",,,,,,
2,"d","  Total certified organic acres operated","farms",134,78,6,146,86,121
2,"d","","acres",114750,2243,207,19245,8232,3373
2,"d","    Land owned","farms",117,68,6,133,78,79
2,"d","","acres","(D)",1712,"(D)",16761,4751,"(D)"
2,"d","    Land rented from others","farms",55,29,1,33,24,52
2,"d","","acres","(D)","(D)","(D)",2484,"(D)",2259
2,"d","    Land rented to others","farms",2,2,2,-,1,2
2,"d","","acres","(D)","(D)","(D)",-,"(D)","(D)"
2,"d","","",,,,,,
2,"d","  Total exempt organic acres operated","farms",23,44,4,20,31,45
2,"d","","acres",366,338,49,119,752,132
2,"d","    Land owned","farms",23,42,4,20,31,40
2,"d","","acres","(D)",331,49,113,752,113
2,"d","    Land rented from others","farms",2,4,-,3,-,5
2,"d","","acres","(D)","(D)",-,6,-,19
2,"d","    Land rented to others","farms",-,3,-,-,-,-
2,"d","","acres",-,"(D)",-,-,-,-
2,"d","","",,,,,,
2,"d","TRANSITIONAL LAND","",,,,,,
2,"d","","",,,,,,
2,"d","Total transitional acres operated","farms",28,11,1,1,16,9
2,"d","","acres",18946,41,"(D)","(D)",753,134
2,"d","  Cropland","farms",28,11,1,1,11,9
2,"d","","acres","(D)",41,"(D)","(D)",338,134
2,"d","  Pastureland","farms",1,-,-,-,4,-
2,"d","","acres","(D)",-,-,-,400,-
2,"d","  Rangeland","farms",-,-,-,-,3,-
2,"d","","acres",-,-,-,-,15,-
2,"d","  Land owned","farms",24,8,-,1,16,7
2,"d","","acres",10175,10,-,"(D)",753,"(D)"
2,"d","  Land rented from others","farms",10,3,1,-,-,2
2,"d","","acres",8771,31,"(D)",-,-,"(D)"
2,"d","  Land rented to others","farms",-,-,-,-,-,-
2,"d","","acres",-,-,-,-,-,-
2,"c",""
2,"c","--continued"
