525,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
525,"t","Table 70.  Organic Livestock Products and Poultry Products Sales – Exempt Organic Farms:  2014"
525,"t","[For meaning of abbreviations and symbols, see introductory text.]"
525,"h","","","","","","","","","",""
525,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
525,"h","","","","","","","","","",""
525,"h","Commodity and geographic area","Farms","Quantity","Dollars","Farms","Quantity","Dollars","Farms","Quantity","Dollars"
525,"h","","","","","","","","","",""
525,"d","MILK FROM COWS",,,,,,,,,
525,"d"," (POUNDS)",,,,,,,,,
525,"d","",,,,,,,,,
525,"d","United States",7,23600,7552,7,23600,7552,-,-,-
525,"d","",,,,,,,,,
525,"d","Colorado",3,2400,768,3,2400,768,-,-,-
525,"d","West Virginia",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","Wisconsin",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","",,,,,,,,,
525,"d","GOAT MILK (POUNDS)",,,,,,,,,
525,"d","",,,,,,,,,
525,"d","United States",6,7200,4496,6,7200,4496,-,-,-
525,"d","",,,,,,,,,
525,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","Wisconsin",4,"(D)","(D)",4,"(D)","(D)",-,-,-
525,"d","",,,,,,,,,
525,"d","CHICKEN EGGS",,,,,,,,,
525,"d"," (DOZENS)",,,,,,,,,
525,"d","",,,,,,,,,
525,"d","United States",214,66326,219220,191,60173,208603,29,6153,10617
525,"d","",,,,,,,,,
525,"d","Alaska",1,"(D)","(D)",1,"(D)","(D)",-,-,-
525,"d","Arkansas",3,"(D)","(D)",3,"(D)","(D)",-,-,-
525,"d","California",17,6446,"(D)",15,"(D)","(D)",2,"(D)","(D)"
525,"d","Colorado",4,358,"(D)",2,"(D)","(D)",2,"(D)","(D)"
525,"d","Connecticut",13,3209,"(D)",9,2285,8264,4,924,"(D)"
525,"d","",,,,,,,,,
525,"d","Delaware",1,"(D)","(D)",1,"(D)","(D)",-,-,-
525,"d","Florida",10,3915,11055,10,3915,11055,-,-,-
525,"d","Georgia",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
525,"d","Hawaii",3,168,672,3,168,672,-,-,-
525,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","",,,,,,,,,
525,"d","Indiana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","Iowa",3,2150,6325,3,"(D)","(D)",1,"(D)","(D)"
525,"d","Kansas",4,240,920,4,240,920,-,-,-
525,"d","Kentucky",4,600,"(D)",4,600,"(D)",-,-,-
525,"d","Maine",10,830,"(D)",8,"(D)",2267,2,"(D)","(D)"
525,"d","",,,,,,,,,
525,"d","Maryland",3,7300,"(D)",3,7300,"(D)",-,-,-
525,"d","Massachusetts",12,13014,46860,12,13014,46860,-,-,-
525,"d","Michigan",11,1867,4978,11,1867,4978,-,-,-
525,"d","Minnesota",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","Missouri",3,960,2718,3,"(D)","(D)",1,"(D)","(D)"
525,"d","",,,,,,,,,
525,"d","Montana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","Nebraska",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","New Hampshire",11,513,1686,11,513,1686,-,-,-
525,"d","New Jersey",4,3177,"(D)",4,"(D)","(D)",1,"(D)","(D)"
525,"d","New York",7,1230,3189,6,"(D)","(D)",1,"(D)","(D)"
525,"d","",,,,,,,,,
525,"d","North Carolina",7,1538,7048,7,1538,7048,-,-,-
525,"d","Ohio",8,1136,3670,6,"(D)","(D)",2,"(D)","(D)"
525,"d","Oklahoma",2,"(D)","(D)",-,-,-,2,"(D)","(D)"
525,"d","Oregon",8,1665,6722,8,1665,6722,-,-,-
525,"d","South Carolina",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","",,,,,,,,,
525,"d","Tennessee",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","Texas",9,1186,3455,5,1170,3427,4,16,28
525,"d","Vermont",10,2552,8606,10,2552,8606,-,-,-
525,"d","Virginia",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","Washington",17,2499,8867,17,2478,8828,3,21,39
525,"d","",,,,,,,,,
525,"d","West Virginia",2,"(D)","(D)",2,"(D)","(D)",-,-,-
525,"d","Wisconsin",9,2678,8386,7,"(D)","(D)",2,"(D)","(D)"
525,"c",""
525,"c","--continued"
