1,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
1,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014"
1,"t","[For meaning of abbreviations and symbols, see introductory text.]"
1,"h","","","","","","","",""
1,"h","Item","","United States","Alabama","Alaska","Arizona","Arkansas","California"
1,"h","","","","","","","",""
1,"d","ORGANIC FARMS","",,,,,,
1,"d","","",,,,,,
1,"d","Certified or exempt","farms",14093,28,17,61,34,2805
1,"d","","",,,,,,
1,"d","ORGANIC LAND","",,,,,,
1,"d","","",,,,,,
1,"d","Total certified and exempt organic acres","",,,,,,
1,"d"," operated","farms",14048,28,17,61,34,2805
1,"d","","acres",3670560,1545,376,17810,811,687168
1,"d","","",,,,,,
1,"d","  Land owned","farms",12353,28,16,36,29,2347
1,"d","","acres",2221715,"(D)",372,5322,707,345502
1,"d","  Land rented from others","farms",5582,2,4,31,9,821
1,"d","","acres",1507957,"(D)",4,12488,104,360483
1,"d","  Land rented to others","farms",521,-,-,-,-,72
1,"d","","acres",59112,-,-,-,-,18817
1,"d","","",,,,,,
1,"d","  Total certified organic acres operated","farms",12595,15,7,61,26,2632
1,"d","","acres",3642933,1300,282,17810,300,685848
1,"d","    Land owned","farms",10970,15,7,36,21,2182
1,"d","","acres",2195232,"(D)","(D)",5322,196,"(D)"
1,"d","    Land rented from others","farms",5446,2,2,31,9,805
1,"d","","acres",1505912,"(D)","(D)",12488,104,360391
1,"d","    Land rented to others","farms",475,-,-,-,-,70
1,"d","","acres",58211,-,-,-,-,"(D)"
1,"d","","",,,,,,
1,"d","  Total exempt organic acres operated","farms",1453,13,10,-,8,173
1,"d","","acres",27627,245,94,-,511,1320
1,"d","    Land owned","farms",1383,13,9,-,8,165
1,"d","","acres",26483,245,"(D)",-,511,"(D)"
1,"d","    Land rented from others","farms",136,-,2,-,-,16
1,"d","","acres",2045,-,"(D)",-,-,92
1,"d","    Land rented to others","farms",46,-,-,-,-,2
1,"d","","acres",901,-,-,-,-,"(D)"
1,"d","","",,,,,,
1,"d","TRANSITIONAL LAND","",,,,,,
1,"d","","",,,,,,
1,"d","Total transitional acres operated","farms",1365,5,1,13,-,220
1,"d","","acres",122175,60,"(D)",5379,-,17046
1,"d","  Cropland","farms",1278,2,1,13,-,213
1,"d","","acres",113011,"(D)","(D)","(D)",-,16542
1,"d","  Pastureland","farms",196,5,-,2,-,13
1,"d","","acres",8344,"(D)",-,"(D)",-,"(D)"
1,"d","  Rangeland","farms",42,-,-,-,-,7
1,"d","","acres",820,-,-,-,-,"(D)"
1,"d","  Land owned","farms",888,5,1,5,-,150
1,"d","","acres",66473,60,"(D)","(D)",-,10989
1,"d","  Land rented from others","farms",578,-,-,10,-,87
1,"d","","acres",56486,-,-,"(D)",-,"(D)"
1,"d","  Land rented to others","farms",15,-,-,-,-,2
1,"d","","acres",784,-,-,-,-,"(D)"
1,"c",""
1,"c","--continued"
