9,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
9,"t","Table 1.  Farms, Land, and Value of Sales of Organic Agricultural Products – Certified and Exempt Organic Farms:  2014 (continued)"
9,"t","[For meaning of abbreviations and symbols, see introductory text.]"
9,"h","","","","","","",""
9,"h","Item","","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
9,"h","","","","","","",""
9,"d","ORGANIC FARMS","",,,,,
9,"d","","",,,,,
9,"d","Certified or exempt","farms",167,716,24,1228,49
9,"d","","",,,,,
9,"d","ORGANIC LAND","",,,,,
9,"d","","",,,,,
9,"d","Total certified and exempt organic acres","",,,,,
9,"d"," operated","farms",167,715,24,1228,49
9,"d","","acres",28412,73841,2120,228605,128502
9,"d","","",,,,,
9,"d","  Land owned","farms",152,655,24,1139,44
9,"d","","acres",20583,48103,"(D)",154739,71779
9,"d","  Land rented from others","farms",59,189,5,634,29
9,"d","","acres","(D)",27092,"(D)",75481,59183
9,"d","  Land rented to others","farms",4,28,-,61,3
9,"d","","acres","(D)",1354,-,1615,2460
9,"d","","",,,,,
9,"d","  Total certified organic acres operated","farms",139,642,9,1128,49
9,"d","","acres",28094,73441,1916,226056,128502
9,"d","    Land owned","farms",124,594,9,1046,44
9,"d","","acres","(D)",47718,"(D)",152229,71779
9,"d","    Land rented from others","farms",59,177,3,620,29
9,"d","","acres","(D)",27074,"(D)",75313,59183
9,"d","    Land rented to others","farms",2,25,-,53,3
9,"d","","acres","(D)",1351,-,1486,2460
9,"d","","",,,,,
9,"d","  Total exempt organic acres operated","farms",28,73,15,100,-
9,"d","","acres",318,400,204,2549,-
9,"d","    Land owned","farms",28,61,15,93,-
9,"d","","acres","(D)",385,"(D)",2510,-
9,"d","    Land rented from others","farms",-,12,2,14,-
9,"d","","acres",-,18,"(D)",168,-
9,"d","    Land rented to others","farms",2,3,-,8,-
9,"d","","acres","(D)",3,-,129,-
9,"d","","",,,,,
9,"d","TRANSITIONAL LAND","",,,,,
9,"d","","",,,,,
9,"d","Total transitional acres operated","farms",23,56,3,142,5
9,"d","","acres",1420,2687,26,10467,1042
9,"d","  Cropland","farms",17,56,3,134,2
9,"d","","acres","(D)","(D)",26,9948,"(D)"
9,"d","  Pastureland","farms",7,2,-,24,3
9,"d","","acres",112,"(D)",-,436,"(D)"
9,"d","  Rangeland","farms",2,-,-,3,-
9,"d","","acres","(D)",-,-,83,-
9,"d","  Land owned","farms",19,42,3,90,1
9,"d","","acres",964,1604,26,4567,"(D)"
9,"d","  Land rented from others","farms",9,20,-,60,4
9,"d","","acres",456,1083,-,6014,"(D)"
9,"d","  Land rented to others","farms",-,-,-,4,-
9,"d","","acres",-,-,-,114,-
9,"c",""
9,"c","--continued"
