568,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
568,"t","Table 88.  Price Premium Received for Products from Land Transitioning to Organic Production – Exempt Organic Farms:  2014"
568,"t","[For meaning of abbreviations and symbols, see introductory text.]"
568,"h","","","","","","",""
568,"h","","","Farms by percent of price premium received from transitional acres","Farms by percent of price premium received from transitional acres","Farms by percent of price premium received from transitional acres","Farms by percent of price premium received from transitional acres","Farms by percent of price premium received from transitional acres"
568,"h","","","","","","",""
568,"h","","","Less than","25 to","50 to","75 to","100 percent"
568,"h","Geographic area","Farms","25 percent","49 percent","74 percent","99 percent","or more"
568,"h","","","","","","",""
568,"d","United States",37,20,16,-,1,-
568,"d","",,,,,,
568,"d","California",1,1,-,-,-,-
568,"d","Connecticut",6,6,-,-,-,-
568,"d","Georgia",2,2,-,-,-,-
568,"d","Illinois",1,-,1,-,-,-
568,"d","Kentucky",3,-,3,-,-,-
568,"d","",,,,,,
568,"d","Louisiana",2,-,2,-,-,-
568,"d","Maine",2,-,2,-,-,-
568,"d","Massachusetts",3,-,3,-,-,-
568,"d","Michigan",2,2,-,-,-,-
568,"d","New Mexico",4,4,-,-,-,-
568,"d","",,,,,,
568,"d","New York",2,-,2,-,-,-
568,"d","North Carolina",1,-,-,-,1,-
568,"d","Oklahoma",5,2,3,-,-,-
568,"d","West Virginia",2,2,-,-,-,-
568,"d","Wisconsin",1,1,-,-,-,-
568,"c",""
