130,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
130,"t","Table 9.  Fresh and Processed Organic Apples Value of Sales – Certified and Exempt Organic Farms:  2014 (continued)"
130,"t","[For meaning of abbreviations and symbols, see introductory text.]"
130,"h","","","","","","","","","",""
130,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
130,"h","","","","","","","","","",""
130,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
130,"h","","","","","","","","","",""
130,"d","GALA, FRESH - Con.",,,,,,,,,
130,"d","",,,,,,,,,
130,"d","Maine",1,"(D)","(D)",1,"(D)","(D)",-,-,-
130,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)",-,-,-
130,"d","Michigan",3,"(D)","(D)",2,"(D)","(D)",1,"(D)","(D)"
130,"d","Minnesota",1,"(D)","(D)",1,"(D)","(D)",-,-,-
130,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","",,,,,,,,,
130,"d","Montana",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","New Mexico",1,"(D)","(D)",1,"(D)","(D)",-,-,-
130,"d","New York",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","",,,,,,,,,
130,"d","Oregon",10,"(D)","(D)",10,"(D)","(D)",-,-,-
130,"d","Utah",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","Washington",100,103799428,57835490,100,103764078,57820971,5,35350,14519
130,"d","Wisconsin",1,"(D)","(D)",1,"(D)","(D)",-,-,-
130,"d","",,,,,,,,,
130,"d","GALA, PROCESSING",,,,,,,,,
130,"d","",,,,,,,,,
130,"d","United States",43,"(D)","(D)",42,"(D)","(D)",3,"(D)","(D)"
130,"d","",,,,,,,,,
130,"d","Arizona",1,"(D)","(D)",1,"(D)","(D)",-,-,-
130,"d","California",11,"(D)",128852,11,"(D)","(D)",2,"(D)","(D)"
130,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","Michigan",1,"(D)","(D)",-,-,-,1,"(D)","(D)"
130,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","",,,,,,,,,
130,"d","Ohio",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","Utah",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","Washington",20,6430291,2505526,20,6430291,2505526,-,-,-
130,"d","",,,,,,,,,
130,"d","GOLDEN DELICIOUS, FRESH",,,,,,,,,
130,"d","",,,,,,,,,
130,"d","United States",125,"(D)","(D)",120,"(D)","(D)",5,"(D)","(D)"
130,"d","",,,,,,,,,
130,"d","California",34,127398,112858,33,"(D)","(D)",1,"(D)","(D)"
130,"d","Colorado",6,"(D)","(D)",5,"(D)","(D)",1,"(D)","(D)"
130,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","Maine",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","Maryland",4,"(D)","(D)",1,"(D)","(D)",3,"(D)","(D)"
130,"d","",,,,,,,,,
130,"d","Michigan",3,3105,2175,3,3105,2175,-,-,-
130,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","New York",4,2800,"(D)",4,2800,"(D)",-,-,-
130,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","",,,,,,,,,
130,"d","Oregon",5,"(D)","(D)",5,"(D)","(D)",-,-,-
130,"d","Utah",3,15600,3060,3,15600,3060,-,-,-
130,"d","Washington",55,37331166,14266010,55,37331166,14266010,-,-,-
130,"d","Wisconsin",1,"(D)","(D)",1,"(D)","(D)",-,-,-
130,"d","",,,,,,,,,
130,"d","GOLDEN DELICIOUS,",,,,,,,,,
130,"d"," PROCESSING",,,,,,,,,
130,"d","",,,,,,,,,
130,"d","United States",44,"(D)","(D)",44,"(D)","(D)",1,"(D)","(D)"
130,"d","",,,,,,,,,
130,"d","California",17,5663291,847652,17,5663291,847652,-,-,-
130,"d","Colorado",4,"(D)","(D)",4,"(D)","(D)",-,-,-
130,"d","Maine",3,"(D)","(D)",3,"(D)","(D)",-,-,-
130,"d","Michigan",3,"(D)","(D)",3,"(D)","(D)",-,-,-
130,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","",,,,,,,,,
130,"d","Oregon",2,"(D)","(D)",2,"(D)","(D)",-,-,-
130,"d","Washington",9,5691282,1186270,9,"(D)","(D)",1,"(D)","(D)"
130,"d","Wisconsin",4,"(D)","(D)",4,"(D)","(D)",-,-,-
130,"c",""
130,"c","--continued"
