546,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
546,"t","Table 75.  Marketing Practices – Exempt Organic Farms:  2014 (continued)"
546,"t","[For meaning of abbreviations and symbols, see introductory text.]"
546,"h","","","","","","","","","",""
546,"h","","","Kansas","Kansas","Kentucky","Kentucky","Louisiana","Louisiana","Maine","Maine"
546,"h","","","","","","","","","",""
546,"h","","","","Percent","","Percent","","Percent","","Percent"
546,"h","Item","","Farms","of sales","Farms","of sales","Farms","of sales","Farms","of sales"
546,"h","","","","","","","","","",""
546,"d","SALES OUTLETS","",,,,,,,,
546,"d","","",,,,,,,,
546,"d","Consumer direct sales","farms",6,100,21,100,7,"(D)",66,"(D)"
546,"d","Direct-to-retail/Institutions sales","farms",-,-,-,-,-,-,17,14
546,"d","Wholesale market sales","farms",-,-,-,-,2,"(D)",4,"(D)"
546,"d","","",,,,,,,,
546,"d","FIRST POINT OF SALES","",,,,,,,,
546,"d","","",,,,,,,,
546,"d","Locally (within 100 miles)","farms",6,100,21,100,9,100,69,"(D)"
546,"d","Regionally (more than 100 miles but less","",,,,,,,,
546,"d"," than 500 miles)","farms",-,-,-,-,-,-,14,24
546,"d","Nationally (500 miles or further)","farms",-,-,-,-,-,-,2,"(D)"
546,"d","Internationally","farms",-,-,-,-,-,-,-,-
546,"d","","",,,,,,,,
546,"d","OTHER MARKETING INFORMATION","",,,,,,,,
546,"d","","",,,,,,,,
546,"d","Sold products through community supported","",,,,,,,,
546,"d"," agriculture (CSA) shares","farms",2,"(X)",2,"(X)",-,"(X)",10,"(X)"
546,"d","Acquired sufficient amount of organic","",,,,,,,,
546,"d"," seed","farms",4,"(X)",19,"(X)",5,"(X)",48,"(X)"
546,"d","Had adequate organic production inputs","",,,,,,,,
546,"d"," available","farms",6,"(X)",19,"(X)",5,"(X)",58,"(X)"
546,"h","","","","","","","","","",""
546,"h","","","Maryland","Maryland","Massachusetts","Massachusetts","Michigan","Michigan","Minnesota","Minnesota"
546,"h","","","","","","","","","",""
546,"h","","","","Percent","","Percent","","Percent","","Percent"
546,"h","Item","","Farms","of sales","Farms","of sales","Farms","of sales","Farms","of sales"
546,"h","","","","","","","","","",""
546,"d","SALES OUTLETS","",,,,,,,,
546,"d","","",,,,,,,,
546,"d","Consumer direct sales","farms",6,74,36,84,35,61,28,72
546,"d","Direct-to-retail/Institutions sales","farms",4,26,22,13,7,5,7,19
546,"d","Wholesale market sales","farms",-,-,8,3,9,34,9,9
546,"d","","",,,,,,,,
546,"d","FIRST POINT OF SALES","",,,,,,,,
546,"d","","",,,,,,,,
546,"d","Locally (within 100 miles)","farms",10,100,48,99,44,100,37,100
546,"d","Regionally (more than 100 miles but less","",,,,,,,,
546,"d"," than 500 miles)","farms",-,-,4,1,-,-,-,-
546,"d","Nationally (500 miles or further)","farms",-,-,-,-,-,-,-,-
546,"d","Internationally","farms",-,-,-,-,-,-,-,-
546,"d","","",,,,,,,,
546,"d","OTHER MARKETING INFORMATION","",,,,,,,,
546,"d","","",,,,,,,,
546,"d","Sold products through community supported","",,,,,,,,
546,"d"," agriculture (CSA) shares","farms",-,"(X)",5,"(X)",4,"(X)",4,"(X)"
546,"d","Acquired sufficient amount of organic","",,,,,,,,
546,"d"," seed","farms",9,"(X)",32,"(X)",35,"(X)",24,"(X)"
546,"d","Had adequate organic production inputs","",,,,,,,,
546,"d"," available","farms",7,"(X)",42,"(X)",35,"(X)",35,"(X)"
546,"c",""
546,"c","--continued"
