341,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
341,"t","Table 35.  Fresh and Processed Organic Apples Value of Sales – Certified Organic Farms:  2014 (continued)"
341,"t","[For meaning of abbreviations and symbols, see introductory text.]"
341,"h","","","","","","","","","",""
341,"h","","Total","Total","Total","Sold as organic","Sold as organic","Sold as organic","Sold as conventional","Sold as conventional","Sold as conventional"
341,"h","","","","","","","","","",""
341,"h","Crop and geographic area","Farms","Pounds","Dollars","Farms","Pounds","Dollars","Farms","Pounds","Dollars"
341,"h","","","","","","","","","",""
341,"d","JONATHAN, FRESH",,,,,,,,,
341,"d","",,,,,,,,,
341,"d","United States",32,"(D)",224319,32,"(D)","(D)",2,"(D)","(D)"
341,"d","",,,,,,,,,
341,"d","California",11,"(D)","(D)",11,"(D)","(D)",-,-,-
341,"d","Colorado",3,"(D)","(D)",3,"(D)","(D)",-,-,-
341,"d","Maine",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Michigan",3,6111,4278,3,6111,4278,-,-,-
341,"d","Missouri",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Virginia",3,31065,"(D)",3,31065,"(D)",-,-,-
341,"d","Washington",6,8880,15568,6,"(D)","(D)",2,"(D)","(D)"
341,"d","",,,,,,,,,
341,"d","JONATHAN, PROCESSING",,,,,,,,,
341,"d","",,,,,,,,,
341,"d","United States",12,"(D)",394201,12,"(D)","(D)",1,"(D)","(D)"
341,"d","",,,,,,,,,
341,"d","California",10,"(D)","(D)",10,"(D)","(D)",1,"(D)","(D)"
341,"d","Colorado",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","LIBERTY, FRESH",,,,,,,,,
341,"d","",,,,,,,,,
341,"d","United States",53,"(D)","(D)",52,"(D)","(D)",1,"(D)","(D)"
341,"d","",,,,,,,,,
341,"d","California",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Iowa",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Massachusetts",3,"(D)","(D)",3,"(D)","(D)",-,-,-
341,"d","Michigan",4,"(D)",19036,3,3460,"(D)",1,"(D)","(D)"
341,"d","New Hampshire",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","New Jersey",1,"(D)","(D)",1,"(D)","(D)",-,-,-
341,"d","New York",8,14710,"(D)",8,14710,"(D)",-,-,-
341,"d","Oregon",9,"(D)","(D)",9,"(D)","(D)",-,-,-
341,"d","Pennsylvania",3,"(D)","(D)",3,"(D)","(D)",-,-,-
341,"d","Tennessee",1,"(D)","(D)",1,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","Washington",8,"(D)","(D)",8,"(D)","(D)",-,-,-
341,"d","Wisconsin",10,"(D)","(D)",10,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","LIBERTY, PROCESSING",,,,,,,,,
341,"d","",,,,,,,,,
341,"d","United States",12,"(D)","(D)",11,"(D)","(D)",1,"(D)","(D)"
341,"d","",,,,,,,,,
341,"d","Maine",3,"(D)","(D)",3,"(D)","(D)",-,-,-
341,"d","Michigan",1,"(D)","(D)",-,-,-,1,"(D)","(D)"
341,"d","New York",1,"(D)","(D)",1,"(D)","(D)",-,-,-
341,"d","Oregon",1,"(D)","(D)",1,"(D)","(D)",-,-,-
341,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","Washington",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Wisconsin",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","MCINTOSH, FRESH",,,,,,,,,
341,"d","",,,,,,,,,
341,"d","United States",46,728965,488900,46,728965,488900,-,-,-
341,"d","",,,,,,,,,
341,"d","California",8,"(D)","(D)",8,"(D)","(D)",-,-,-
341,"d","Illinois",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Maine",4,"(D)","(D)",4,"(D)","(D)",-,-,-
341,"d","Massachusetts",1,"(D)","(D)",1,"(D)","(D)",-,-,-
341,"d","Montana",4,"(D)","(D)",4,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","North Carolina",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Oregon",5,10520,30500,5,10520,30500,-,-,-
341,"d","Pennsylvania",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Texas",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","Utah",2,"(D)","(D)",2,"(D)","(D)",-,-,-
341,"d","",,,,,,,,,
341,"d","Washington",10,"(D)","(D)",10,"(D)","(D)",-,-,-
341,"d","Wisconsin",4,24040,15386,4,24040,15386,-,-,-
341,"c",""
341,"c","--continued"
