233,"t","2014 Organic Survey: Released September 17, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
233,"t","Table 29.  Value-Added Organic Product Sales – Certified Organic Farms:  2014"
233,"t","[For meaning of abbreviations and symbols, see introductory text.]"
233,"h","","","","","","","","",""
233,"h","","","","","Farms by percent of total value of organic sales","Farms by percent of total value of organic sales","Farms by percent of total value of organic sales","Farms by percent of total value of organic sales","Farms by percent of total value of organic sales"
233,"h","","","Value of sales","Value of sales","from value-added products","from value-added products","from value-added products","from value-added products","from value-added products"
233,"h","","","","","","","","",""
233,"h","","","","Average","","","","",""
233,"h","Geographic","","Total","per farm","Less than","25 to 49","50 to 74","75 to 99","100"
233,"h","area","Farms","(dollars)","(dollars)","25 percent","percent","percent","percent","percent"
233,"h","","","","","","","","",""
233,"d","United States",949,729974562,769204,502,150,166,131,-
233,"d","",,,,,,,,
233,"d","Alabama",1,"(D)","(D)",-,1,-,-,-
233,"d","Arizona",6,1150274,191712,2,-,-,4,-
233,"d","Arkansas",9,43782,4865,6,3,-,-,-
233,"d","California",261,589879782,2260076,98,35,72,56,-
233,"d","Colorado",18,1388530,77141,9,3,4,2,-
233,"d","",,,,,,,,
233,"d","Connecticut",24,1776046,74002,16,4,2,2,-
233,"d","Florida",9,195550,21728,6,-,3,-,-
233,"d","Georgia",13,652000,50154,9,1,3,-,-
233,"d","Hawaii",33,1820997,55182,15,10,5,3,-
233,"d","Idaho",15,"(D)","(D)",11,3,-,1,-
233,"d","",,,,,,,,
233,"d","Illinois",6,"(D)","(D)",5,-,1,-,-
233,"d","Indiana",9,10018588,1113176,7,2,-,-,-
233,"d","Iowa",9,667766,74196,5,3,-,1,-
233,"d","Kansas",2,"(D)","(D)",2,-,-,-,-
233,"d","Kentucky",6,"(D)","(D)",4,-,2,-,-
233,"d","",,,,,,,,
233,"d","Maine",61,2517025,41263,34,11,14,2,-
233,"d","Maryland",13,"(D)","(D)",10,2,1,-,-
233,"d","Massachusetts",29,904692,31196,14,6,5,4,-
233,"d","Michigan",22,3324252,151102,11,7,1,3,-
233,"d","Minnesota",7,291553,41650,6,1,-,-,-
233,"d","",,,,,,,,
233,"d","Missouri",7,"(D)","(D)",4,3,-,-,-
233,"d","Montana",12,2013311,167776,6,-,2,4,-
233,"d","Nebraska",8,4606750,575844,4,-,4,-,-
233,"d","New Hampshire",10,179800,17980,6,4,-,-,-
233,"d","New Jersey",5,33000,6600,5,-,-,-,-
233,"d","",,,,,,,,
233,"d","New Mexico",10,1359464,135946,2,-,5,3,-
233,"d","New York",47,2856296,60772,32,7,5,3,-
233,"d","North Carolina",11,207902,18900,7,2,-,2,-
233,"d","North Dakota",1,"(D)","(D)",1,-,-,-,-
233,"d","Ohio",6,"(D)","(D)",6,-,-,-,-
233,"d","",,,,,,,,
233,"d","Oklahoma",3,"(D)","(D)",2,1,-,-,-
233,"d","Oregon",42,"(D)","(D)",19,9,10,4,-
233,"d","Pennsylvania",30,"(D)","(D)",23,4,1,2,-
233,"d","South Dakota",1,"(D)","(D)",1,-,-,-,-
233,"d","Tennessee",2,"(D)","(D)",1,1,-,-,-
233,"d","",,,,,,,,
233,"d","Texas",4,5320000,1330000,1,-,-,3,-
233,"d","Utah",5,3994,799,5,-,-,-,-
233,"d","Vermont",60,2561577,42693,45,5,4,6,-
233,"d","Virginia",15,152974,10198,11,2,2,-,-
233,"d","Washington",59,15026057,254679,23,7,7,22,-
233,"d","Wisconsin",58,7199969,124137,28,13,13,4,-
233,"c",""
